,accuracy,recall,precision,f1,roc_auc
Random Forest,0.758694109297374,0.7807486631016043,0.5309090909090909,0.6320346320346321,0.843465343976853
Logistic Regression,0.7388218594748048,0.7834224598930482,0.5051724137931034,0.6142557651991615,0.8417034798108968
XGBoost,0.7579843860894251,0.7780748663101604,0.5300546448087432,0.6305525460455038,0.8416518122400475
